epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,18256.3,0.89319,0.43495,1.03651,0.99979,1,0.995,0.87872,0.56546,0.26684,0.89584,0.0005546,0.0005546,0.0005546
75,18496.8,0.8835,0.42852,1.02719,0.99978,1,0.995,0.88085,0.54002,0.26353,0.88852,0.0005348,0.0005348,0.0005348
76,18737.3,0.89721,0.4308,1.02715,0.9997,1,0.995,0.86639,0.57854,0.26545,0.90403,0.000515,0.000515,0.000515
77,18979.2,0.89913,0.42517,1.03445,0.99981,1,0.995,0.87925,0.54396,0.26374,0.89029,0.0004952,0.0004952,0.0004952
78,19220,0.87113,0.42368,1.02594,0.99978,1,0.995,0.89281,0.53881,0.25791,0.8894,0.0004754,0.0004754,0.0004754
79,19460.4,0.87874,0.41818,1.02902,0.99981,1,0.995,0.8887,0.52933,0.25509,0.8874,0.0004556,0.0004556,0.0004556
80,19701.4,0.86165,0.41825,1.01516,0.99974,1,0.995,0.87835,0.53981,0.26167,0.88955,0.0004358,0.0004358,0.0004358
81,19943.1,0.87255,0.41874,1.02432,0.9998,1,0.995,0.89341,0.52223,0.24939,0.87884,0.000416,0.000416,0.000416
82,20183.9,0.87394,0.41467,1.02959,0.9998,1,0.995,0.88072,0.54447,0.25387,0.89461,0.0003962,0.0003962,0.0003962
83,20425.4,0.86637,0.41997,1.0177,0.99973,1,0.995,0.88454,0.54966,0.25949,0.89619,0.0003764,0.0003764,0.0003764
84,20666.5,0.84428,0.40941,1.01955,0.99957,1,0.995,0.88947,0.52099,0.25145,0.88538,0.0003566,0.0003566,0.0003566
85,20907.4,0.8461,0.41457,1.00813,0.9998,1,0.995,0.89611,0.52795,0.2526,0.88423,0.0003368,0.0003368,0.0003368
86,21149.5,0.84889,0.40929,1.00937,0.99982,1,0.995,0.88693,0.53018,0.25187,0.88426,0.000317,0.000317,0.000317
87,21392.2,0.85424,0.4114,1.01916,0.99981,1,0.995,0.89506,0.51922,0.25478,0.88029,0.0002972,0.0002972,0.0002972
88,21634.6,0.83728,0.40902,1.01201,0.99981,1,0.995,0.89573,0.51815,0.25057,0.87809,0.0002774,0.0002774,0.0002774
89,21875,0.84418,0.40995,1.01582,0.99982,1,0.995,0.89298,0.51179,0.24626,0.87718,0.0002576,0.0002576,0.0002576
90,22116.5,0.84,0.40484,1.01051,0.99981,1,0.995,0.8918,0.50783,0.24141,0.87478,0.0002378,0.0002378,0.0002378
91,22354.1,0.74068,0.33161,0.98068,0.99977,1,0.995,0.89583,0.50986,0.24442,0.87477,0.000218,0.000218,0.000218
92,22592.7,0.72856,0.33034,0.98351,0.9998,1,0.995,0.89231,0.51364,0.23989,0.87564,0.0001982,0.0001982,0.0001982
93,22831.1,0.72231,0.32215,0.96533,0.99981,1,0.995,0.89037,0.51987,0.23961,0.87428,0.0001784,0.0001784,0.0001784
94,23068.7,0.70481,0.31846,0.96092,0.99982,1,0.995,0.89824,0.50947,0.24001,0.87516,0.0001586,0.0001586,0.0001586
95,23306.7,0.71654,0.32017,0.966,0.99979,1,0.995,0.90018,0.50651,0.23825,0.87358,0.0001388,0.0001388,0.0001388
96,23545.1,0.69836,0.31765,0.96651,0.99979,1,0.995,0.90633,0.49928,0.23532,0.87358,0.000119,0.000119,0.000119
97,23783.2,0.7087,0.3184,0.96368,0.99979,1,0.995,0.90376,0.4969,0.23737,0.87155,9.92e-05,9.92e-05,9.92e-05
98,24021.5,0.69865,0.31373,0.95738,0.99979,1,0.995,0.90252,0.5008,0.23599,0.87332,7.94e-05,7.94e-05,7.94e-05
99,24260.8,0.68814,0.30665,0.9527,0.99977,1,0.995,0.90844,0.48841,0.23334,0.8687,5.96e-05,5.96e-05,5.96e-05
100,24499.1,0.68936,0.30826,0.96426,0.99979,1,0.995,0.91336,0.48452,0.23333,0.8675,3.98e-05,3.98e-05,3.98e-05
